Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
CXCL5,14.835274,3.804389475,0.462055537,3.93E-17,5.90E-13
FCGR3B,8.356135874,2.545611906,0.374851684,1.28E-12,6.42E-09
CXCR2,2.78337126,1.923144953,0.277493534,1.86E-13,NA
VNN1,8.408518705,2.416381272,0.415341815,6.80E-10,1.46E-06
CXCL3,8.564726674,1.777964843,0.263041086,1.05E-12,6.42E-09
SLC35C1,24.96146376,1.686900192,0.260611252,8.01E-12,3.01E-08
LCN2,174.2117925,2.358303855,0.450454586,2.21E-08,3.09E-05
IL1R2,6.061170271,1.712084942,0.275084542,3.20E-11,9.61E-08
CXCL8,71.64225898,1.869228913,0.390643912,1.78E-07,0.000177821
DEFB1,18.68765913,2.484926939,0.632084489,1.08E-05,0.003525424
KRT17,39.54082014,2.085396099,0.483012157,1.74E-06,0.000922241
GRAMD1B,3.21298896,1.573330821,0.316701281,3.47E-08,NA
XKRX,36.97918234,-1.739573698,0.406886475,3.71E-07,0.000293168
IGLV1-36,59.73664725,1.922603197,0.444902822,1.62E-06,0.000899196
DPP4-DT,5.857902836,-2.010765017,0.517393417,3.66E-06,0.001773137
NSA2P3,24.58241356,-1.804641257,0.4437052,9.22E-07,0.000585388
VNN2,11.06103077,1.352415313,0.269667557,3.48E-08,4.01E-05
SCG2,3.591342154,-2.293700692,0.288535811,5.06E-05,NA
TNS4,7.683088449,1.894043779,0.482767284,7.90E-06,0.002827296
LYPD3,4.010741634,1.605946166,0.37394855,1.09E-06,NA
S100A12,2.665634618,1.576162597,0.375019202,1.38E-06,NA
IGLV4-60,49.72903438,1.882928055,0.494817464,1.39E-05,0.003806468
IL1A,3.141454281,1.342095725,0.296507111,2.54E-07,NA
S100A8,43.85566001,1.424957905,0.319363152,6.65E-07,0.000475566
DPP4,48.1996044,-1.521929799,0.388723154,1.78E-06,0.000922241
WFDC3,13.02290703,-1.57060945,0.408855622,3.17E-06,0.001587324
S100P,506.765876,2.174484098,0.678435198,0.000148532,0.017187941
APOL1,64.76969133,1.230455781,0.264212304,2.33E-07,0.000215784
TRIM31,4.139270643,1.730756647,0.485155375,2.65E-05,NA
SDCBP2,13.25975597,1.588418644,0.426376651,1.55E-05,0.004013121
GPR35,3.067929188,1.434533728,0.378069527,7.80E-06,NA
CSGALNACT1,13.04690561,0.967385739,0.19337046,3.10E-08,3.87E-05
AQP9,12.12474187,1.050738977,0.223017333,1.45E-07,0.000155777
LINC01348,5.749334786,1.409104928,0.388074219,1.90E-05,0.00467401
ADGRE3,2.084917296,1.097490347,0.275184441,2.18E-06,NA
SFXN4P1,2.909402854,1.286634833,0.357358647,1.51E-05,NA
ZNF682,10.39332831,-1.26555465,0.359530975,1.30E-05,0.003806468
CXCL1,50.23513765,1.387625819,0.396495257,3.57E-05,0.006383134
SDK1,17.24160657,1.332873909,0.372489655,2.46E-05,0.005507362
LXN,44.50434191,0.731992943,0.136364018,5.08E-09,8.46E-06
ID1,112.5692223,1.284278138,0.358549458,2.33E-05,0.005295716
CHL1,17.78174155,1.444579825,0.443046114,8.19E-05,0.011275126
HAGLR,19.23609411,-1.277648538,0.392137238,2.61E-05,0.005630689
GK-AS1,14.30186938,0.933950076,0.211692826,5.82E-07,0.000436569
LOC101928924,3.858990304,-1.368130719,0.41493502,5.55E-05,NA
PTPN13,89.76066844,-1.236066058,0.376206531,2.01E-05,0.004773448
JPH1,7.017021665,-1.280693063,0.382419743,3.04E-05,0.006085291
ACKR3,25.54536589,1.083115934,0.272841911,4.83E-06,0.002108878
GK,27.63552645,0.914070253,0.210783328,8.95E-07,0.000585388
KYNU,6.75081788,1.266356249,0.3777639,4.78E-05,0.007559724
IGKV2-26,4.679129538,1.360013591,0.435141647,9.72E-05,0.01268122
FGA,65.4991243,1.999607416,0.881715354,0.002000772,0.074891736
AKAP12,34.03976098,1.193252033,0.341732152,3.26E-05,0.006263585
AVPI1,36.02423724,0.988675615,0.247365304,4.07E-06,0.001906806
SAA2,7.488834152,1.515141682,0.531493467,0.000305354,0.02518843
BCL2A1,33.29540011,0.897229601,0.213079231,1.58E-06,0.000899196
LOC102724428,6.906269258,1.082976805,0.300226253,1.65E-05,0.004198654
RHOV,17.47529328,1.382620013,0.465828259,0.000204135,0.020564214
FA2H,6.580120862,1.243258396,0.389437291,8.12E-05,0.011275126
CYP24A1,57.13533407,1.686063551,0.683053614,0.001038096,0.052464022
TMEM45A,11.52849457,1.123092445,0.326360599,3.47E-05,0.00635697
UCK2,6.31981519,1.000763557,0.269550775,1.04E-05,0.00346158
IGHV4-34,351.1886464,1.19608047,0.362842309,6.81E-05,0.009925765
VMO1,13.41348367,1.123689947,0.331744424,4.27E-05,0.007086394
MYRF,4.914450966,1.087225742,0.320110685,3.21E-05,0.006260733
LOC105372321,4.296210767,-1.266533238,0.444056186,0.000168926,NA
RN7SL368P,6.328916993,1.06214859,0.315219706,3.91E-05,0.006708958
RARRES1,34.62152424,1.084635133,0.323343782,5.21E-05,0.008062681
LIF,23.03378205,1.163812818,0.371325838,0.000110207,0.014018735
RNU6-1194P,6.888254021,1.443836465,0.572585363,0.000739659,0.042865972
EPHB6,3.540374572,1.111589718,0.365523533,0.000104487,NA
CYP3A5,14.29233725,0.721272849,0.377301095,9.74E-07,0.000585388
LOC124903436,6.191698534,1.290101792,0.482808667,0.000445019,0.032269272
AKR7A3,21.92686804,1.454247326,0.610050778,0.001122529,0.054562282
HAL,7.196108824,1.193026464,0.426996064,0.000284882,0.025153411
IGKV2D-28,15.2034768,1.170925808,0.414468334,0.000279277,0.024804393
SLC7A11,17.57562603,1.269558933,0.484814121,0.000550338,0.037149222
MEDAG,14.64715948,1.078386623,0.35999938,0.000158515,0.017756061
IGKV1D-17,14.67362102,1.422854407,0.618953718,0.001326765,0.060833561
CREB3L1,16.19114933,1.083677319,0.365621683,0.000175264,0.018980139
ITGB1,121.4666548,0.613707406,0.132780066,2.44E-07,0.000215784
CCT8P1,45.96671169,-1.044343129,0.38671702,0.000134877,0.016300307
IGKV3-7,8.12171123,1.072818296,0.375919148,0.000220433,0.021413441
BACE2,27.09530084,1.034084355,0.348581297,0.000177697,0.019051662
NPC2,352.6996958,-0.925035685,0.311926616,6.53E-05,0.009628063
SNX29P1,2.298656176,-1.210198171,0.470151868,0.000640767,NA
KNDC1,3.65066427,1.049393732,0.373261474,0.000210005,NA
ICAM5,10.44347714,-1.067869071,0.41682484,0.000250005,0.023453586
IGHV4-80,11.60799595,0.9914098,0.328709276,0.000135745,0.016300307
NKX2-1,94.41000826,-0.916032188,0.312954584,7.69E-05,0.010882338
IGKV5-2,20.48639935,1.168321463,0.457123297,0.000618381,0.039376022
ADTRP,2.464748773,0.865028919,0.273489064,4.87E-05,NA
IER5L,7.00260735,0.824691537,0.245329879,3.61E-05,0.006383134
MTND5P20,5.942980036,-1.026383094,0.389128654,0.000273686,0.02445258
SAA1,38.51176001,1.261494985,0.559567868,0.001416701,0.063857883
PTP4A1,2.940443572,0.860307467,0.278949848,7.27E-05,NA
CLEC4E,4.767114021,0.846383282,0.269024835,6.50E-05,0.009628063
DUSP4,23.89067294,1.083379127,0.420595009,0.000565306,0.037709843
RPL7AP10,10.5315851,-0.797583868,0.241173866,3.88E-05,0.006708958
GK-IT1,6.884487168,0.919575798,0.312319977,0.000155293,0.017525925
IGHV2-70D,30.77134473,1.39271668,0.725184524,0.003101363,0.096786913
SFTA3,71.98920473,-0.945320458,0.373393859,0.000219742,0.021413441
RASSF6,13.04514749,1.030904595,0.391510816,0.000455022,0.032835947
FAM107B,58.16372932,0.648066832,0.16454137,4.92E-06,0.002108878
DIO1,3.619035059,-1.53256533,0.459288083,0.0058714,NA
ESYT3,21.69498614,-0.964438762,0.392761049,0.000291237,0.02518843
IGHV3-33,343.2945004,1.069044957,0.42486528,0.000685624,0.04116489
MBIP,99.48953134,-0.838317424,0.294271701,0.000102319,0.013239725
ADGRF5,221.9255049,-0.917751989,0.370105473,0.000245091,0.023137184
LAMC2,92.41896983,0.9628809,0.353449856,0.000369601,0.028894298
SKIL,60.6000113,0.502688813,0.109320078,2.70E-07,0.000224832
SERPINE1,115.1065094,1.016752883,0.395245955,0.000575508,0.037848405
RDH10-AS1,7.729008937,0.916271881,0.329350391,0.00026963,0.024234409
BNIP3P24,2.931326996,-1.025591,0.411831741,0.000654206,NA
ZNF431,12.40856492,-0.74658481,0.228327166,4.30E-05,0.007086394
TSPAN1,79.87113748,1.128398982,0.498055643,0.001303199,0.060003101
MT1A,9.501212281,2.019898962,0.504385242,0.024641063,0.253628503
SPDEF,26.60060446,0.920798316,0.333969335,0.000296933,0.02518843
FOLH1,2.184690251,0.874516816,0.323738465,0.000196328,NA
B3GNT8,11.29592161,-0.901397176,0.34745399,0.000253341,0.023562186
ADSS1,6.30554308,0.902429206,0.326740542,0.000258945,0.023562186
KCNE3,13.11883174,0.899026064,0.319942668,0.000257163,0.023562186
FAM177B,7.501044791,1.215428481,0.610409567,0.002288861,0.082178199
RPS20P9,4.265521547,0.689540668,0.20312488,2.36E-05,NA
CTSL,73.18629894,0.697317339,0.199833705,2.84E-05,0.005887826
SLCO5A1,3.106315643,0.867601612,0.31716598,0.000240684,NA
IGHV1OR15-9,4.643578048,0.996054992,0.420797435,0.000735894,0.042813085
STC1,17.03262739,0.910149255,0.344432118,0.000424856,0.031398372
ZBBX,4.012497468,1.095508373,0.526178964,0.001731348,NA
RDH10,53.89148804,0.922956573,0.3580857,0.00054321,0.036894052
IGKV1D-39,51.72562718,0.999379679,0.425597078,0.00099413,0.051277992
MAFK,27.65161034,0.662610299,0.192597853,3.08E-05,0.006085291
IL6,11.29277399,1.135074361,0.582243116,0.002464228,0.085973677
RNU6-316P,3.415080599,0.983387558,0.44217679,0.001027329,NA
NUDT16L1,33.58817411,-0.591519841,0.163170093,1.21E-05,0.003702904
ZNF66,9.064823251,-0.834433045,0.329661288,0.000336377,0.02689261
IGKV1OR2-6,2.983978315,0.976464366,0.459557581,0.001159465,NA
TSPAN8,72.90854006,1.170823544,0.659465029,0.003670959,0.101662532
LPGAT1,50.13545898,0.607519584,0.171654093,2.30E-05,0.005295716
OASL,7.842341359,0.833352648,0.321742378,0.000428622,0.031398372
PROM1,14.48310905,1.103880642,0.596654194,0.003012935,0.095813893
PHF5AP5,21.7520661,-0.807092434,0.334554208,0.000374113,0.028995096
PPIAP29,9.900774864,-1.076639354,0.3086782,0.002699458,0.089784306
LINC02605,7.470867859,0.677823097,0.222197571,9.46E-05,0.012485612
RNU6-724P,22.12858676,-0.781666235,0.315408749,0.00032678,0.026513337
IGLV5-37,7.345433273,1.187443677,0.775318209,0.00516595,0.121919663
CA12,17.25039763,1.047882468,0.550664763,0.002637669,0.089371147
MLKL,13.92403011,0.611013238,0.180119725,3.93E-05,0.006708958
PPP2R3A,21.45837037,-0.679860099,0.23135107,0.000113196,0.01427789
PTGES,22.39901878,0.78802496,0.296296589,0.000395503,0.029682525
ALDH1A3,8.499554635,0.770501029,0.28678634,0.000342715,0.027074516
RNU6-1003P,6.884244815,0.757564291,0.284040492,0.000312297,0.025615154
C12orf75,12.03745163,0.864002742,0.37114035,0.000922716,0.048426461
IGLV1-40,606.0480287,0.864121521,0.36695032,0.000951382,0.049503374
FURIN,92.96141679,0.759507087,0.282963774,0.000383429,0.029214574
BMAL2,13.92633941,0.834823152,0.352677385,0.000830233,0.045647593
LOC128125822,4.191181429,0.701100764,0.258081904,0.000234632,NA
MIR2909,17.10565647,-0.638494634,0.212535299,0.000104671,0.013428258
MIPEP,15.31950002,0.560978246,0.16357694,2.95E-05,0.005983999
TMEM150A,20.06894881,-0.598416226,0.187499571,5.80E-05,0.00878712
SFRP1,2.636498518,0.907269784,0.463652647,0.001639925,NA
PLAC8,15.64591358,0.914480734,0.442030531,0.001744231,0.07050963
IGKV2OR22-4,4.722423981,0.897915217,0.447658454,0.001643706,0.068324481
TIMM9P1,14.96243731,-0.70413688,0.271101274,0.000291083,0.02518843
SALL2,7.783368911,-0.80202631,0.364499046,0.000790089,0.044416624
DNAJB4,15.57315614,0.59276786,0.184794288,6.54E-05,0.009628063
EOGT,20.34183724,0.488374594,0.129415807,8.47E-06,0.002956583
RN7SKP240,4.634343311,0.742689519,0.294312751,0.000464022,0.033325205
FNDC3B,74.8102153,0.480445009,0.124387576,7.13E-06,0.002720674
EHBP1,15.33809577,0.479131383,0.125592627,6.90E-06,0.002720674
ZNF512B,24.57128542,-0.645316453,0.227828883,0.000152633,0.017356261
GLS,98.76462783,-0.730115696,0.314067039,0.000428825,0.031398372
OCLN,42.73766287,-0.694852059,0.274940094,0.000292454,0.02518843
RAB5CP1,23.82728291,-0.615019299,0.209680859,0.000116768,0.014605688
SNX21,19.97499939,-0.684419201,0.267473491,0.000305352,0.02518843
CDKN2A,8.027943247,0.958423144,0.537444595,0.003090101,0.096786913
ARL4AP1,13.50104736,-0.737393994,0.3183857,0.000551917,0.037149222
LRRC37A16P,18.65704397,-0.611819753,0.208747704,0.00013097,0.015982657
ZC3H12A,34.72346082,0.629689173,0.214453651,0.000169872,0.018611557
PLK2,38.30002303,0.645617389,0.226035856,0.000222551,0.021413441
MDH1B,2.459101722,0.793708039,0.373407042,0.001116065,NA
TMPRSS3,6.299749285,0.942945758,0.553682062,0.003337637,0.098690895
LOC105374971,4.425391265,0.787107417,0.360150794,0.001092492,NA
TLR6,8.436992075,0.578252388,0.188536223,9.35E-05,0.012485612
MXD1,19.04845482,0.676980411,0.253841419,0.00036335,0.028554385
RN7SL141P,41.55308074,0.491874549,0.137505971,2.04E-05,0.004773448
GJB3,5.351489862,0.981069372,0.649484005,0.004570649,0.113585163
CACNB1,7.691858057,-0.742711979,0.334569466,0.000820597,0.045283691
FGG,84.141318,1.48878938,0.765459923,0.028970977,0.271552497
TNFAIP6,11.09906266,0.690101239,0.272253709,0.000493376,0.034931985
RNU1-146P,5.975695173,0.99935583,0.707666154,0.005384195,0.12510335
HIP1,36.51493266,-0.577049877,0.196483361,0.00011823,0.014666331
LINC00674,49.88686793,-0.578324585,0.19863274,0.00012214,0.01502727
BCAS1,16.90864894,0.992498614,0.692759264,0.00559221,0.127126836
IGLV3-9,91.28619538,0.949334755,0.594713794,0.004448385,0.111469543
TDP2,36.2384116,0.45337928,0.121957909,1.24E-05,0.003719519
NAPG,29.49953367,0.458611879,0.125327756,1.42E-05,0.00381421
RNU6-1135P,3.937400649,0.888462038,0.539194944,0.003229746,NA
LOC100128939,6.928396779,0.894481102,0.52881557,0.003415885,0.099066713
SLC18B1,20.14184668,0.492976757,0.144357623,3.39E-05,0.006273221
MAP2K6,4.737269089,0.718074986,0.31636489,0.000871811,0.046800143
BASP1,38.42521439,0.676322282,0.267769548,0.000567783,0.037709843
